variante,distance_hasard
sans featurings ni ad-libs,0.9604012965944482
sans featurings ni ad-libs,0.9704223947551078
sans featurings ni ad-libs,0.9760826131886964
sans featurings ni ad-libs,0.9356155009203677
sans featurings ni ad-libs,0.9613104227234137
sans featurings ni ad-libs,0.9509311188423358
sans featurings ni ad-libs,0.8998147568791972
sans featurings ni ad-libs,0.9497075995764761
sans featurings ni ad-libs,0.9859777106944626
sans featurings ni ad-libs,0.9122472068361905
sans featurings ni ad-libs,0.9900432197590194
sans featurings ni ad-libs,0.9544615217423391
sans featurings ni ad-libs,0.9587976834815449
sans featurings ni ad-libs,0.9629703768620729
sans featurings ni ad-libs,0.9709520470317136
sans featurings ni ad-libs,0.9541508844970122
sans featurings ni ad-libs,0.9478327324876976
sans featurings ni ad-libs,0.9686377871909693
sans featurings ni ad-libs,0.9575161134429422
sans featurings ni ad-libs,0.9796924835380372
sans featurings ni ad-libs,0.9298398073978714
sans featurings ni ad-libs,0.9708762308020793
sans featurings ni ad-libs,0.9436844518708719
sans featurings ni ad-libs,0.9717577023971858
sans featurings ni ad-libs,0.9128997743919534
sans featurings ni ad-libs,0.983925504778532
sans featurings ni ad-libs,0.9887485253415277
sans featurings ni ad-libs,0.9666062128756264
sans featurings ni ad-libs,0.966531200503952
sans featurings ni ad-libs,0.9432576066928027
sans featurings ni ad-libs,0.9547648777577161
sans featurings ni ad-libs,0.9477185319898552
sans featurings ni ad-libs,0.9832535382338433
sans featurings ni ad-libs,0.909932020177884
sans featurings ni ad-libs,0.9860411918236603
sans featurings ni ad-libs,0.9337829084320755
sans featurings ni ad-libs,0.970861261896056
sans featurings ni ad-libs,0.9999945259856995
sans featurings ni ad-libs,0.9235626961598418
sans featurings ni ad-libs,0.9474581447834355
sans featurings ni ad-libs,0.953632355784608
sans featurings ni ad-libs,0.9785852719830277
sans featurings ni ad-libs,0.97795977147026
sans featurings ni ad-libs,0.9303691756278223
sans featurings ni ad-libs,0.9494756994519015
sans featurings ni ad-libs,0.9675175822103114
sans featurings ni ad-libs,1.0053130342214052
sans featurings ni ad-libs,0.9461000464973665
sans featurings ni ad-libs,0.9171911806448665
sans featurings ni ad-libs,0.9661514739849831
sans featurings ni ad-libs,0.9174823500568641
sans featurings ni ad-libs,0.9540645003212407
sans featurings ni ad-libs,0.9685813420931986
sans featurings ni ad-libs,0.9608388685630757
sans featurings ni ad-libs,0.9839553282881165
sans featurings ni ad-libs,0.9469581319172385
sans featurings ni ad-libs,0.9441931800819287
sans featurings ni ad-libs,0.9655419182696277
sans featurings ni ad-libs,0.9495903874322779
sans featurings ni ad-libs,0.9805653351747857
sans featurings ni ad-libs,0.9659977972180278
sans featurings ni ad-libs,0.9793238206039137
sans featurings ni ad-libs,0.9788491136485497
sans featurings ni ad-libs,0.9436880902106386
sans featurings ni ad-libs,0.9446819558247159
sans featurings ni ad-libs,0.9478462708637005
sans featurings ni ad-libs,0.9187306263560455
sans featurings ni ad-libs,0.9606420754201928
sans featurings ni ad-libs,0.9934872242866102
sans featurings ni ad-libs,0.9179983353797218
sans featurings ni ad-libs,0.951569373716085
sans featurings ni ad-libs,0.985050554074592
sans featurings ni ad-libs,0.9519444045690441
sans featurings ni ad-libs,0.9365482316983973
sans featurings ni ad-libs,0.9723916822829255
sans featurings ni ad-libs,0.9602259327113878
sans featurings ni ad-libs,0.9973037434201856
sans featurings ni ad-libs,0.9459040146862661
sans featurings ni ad-libs,0.9406637546016108
sans featurings ni ad-libs,0.9236285731999453
sans featurings ni ad-libs,0.9504742131903754
sans featurings ni ad-libs,0.9819958207515077
sans featurings ni ad-libs,0.9689745756422666
sans featurings ni ad-libs,0.967791230439538
sans featurings ni ad-libs,0.9785852719830277
sans featurings ni ad-libs,0.9983773973034005
sans featurings ni ad-libs,0.9664032280879722
sans featurings ni ad-libs,0.9604599129675074
sans featurings ni ad-libs,0.9817395643288032
sans featurings ni ad-libs,1.0270139234184106
sans featurings ni ad-libs,0.9656533868236028
sans featurings ni ad-libs,0.9844375499948008
sans featurings ni ad-libs,0.9830838806563025
sans featurings ni ad-libs,0.961040584982681
sans featurings ni ad-libs,1.0115045022763072
sans featurings ni ad-libs,1.0047616305946554
sans featurings ni ad-libs,0.9540782743447435
sans featurings ni ad-libs,0.9792383330497836
sans featurings ni ad-libs,0.9808543138792668
sans featurings ni ad-libs,0.9500590509375388
sans featurings ni ad-libs,0.9205338254460228
sans featurings ni ad-libs,0.9072966875094322
sans featurings ni ad-libs,0.9762890783328712
sans featurings ni ad-libs,0.955517252527593
sans featurings ni ad-libs,1.014263399407915
sans featurings ni ad-libs,0.9844259326288616
sans featurings ni ad-libs,0.977920248879268
sans featurings ni ad-libs,0.9897627568306911
sans featurings ni ad-libs,0.9541833565875056
sans featurings ni ad-libs,0.9085675574583448
sans featurings ni ad-libs,0.9460189486381719
sans featurings ni ad-libs,0.9737472916328866
sans featurings ni ad-libs,0.9328873141745144
sans featurings ni ad-libs,0.9419813537933822
sans featurings ni ad-libs,0.9543956805521088
sans featurings ni ad-libs,0.972151743298361
sans featurings ni ad-libs,0.9873635059444823
sans featurings ni ad-libs,0.9140729716492296
