variante,distance_hasard
sans featurings ni ad-libs,0.9320508515919949
sans featurings ni ad-libs,0.9494065704469021
sans featurings ni ad-libs,0.9447694919848492
sans featurings ni ad-libs,0.9424136057807845
sans featurings ni ad-libs,0.9401951923205368
sans featurings ni ad-libs,0.9047562157250353
sans featurings ni ad-libs,0.9513966751179459
sans featurings ni ad-libs,0.9276604980427317
sans featurings ni ad-libs,0.8939343255562219
sans featurings ni ad-libs,0.9516401977562362
sans featurings ni ad-libs,0.9430905076196483
sans featurings ni ad-libs,0.9637840228316528
sans featurings ni ad-libs,0.8807360821006059
sans featurings ni ad-libs,0.8857269696625877
sans featurings ni ad-libs,0.9478514661683419
sans featurings ni ad-libs,0.9324746854083379
sans featurings ni ad-libs,0.9319646541922102
sans featurings ni ad-libs,0.9221891834815088
sans featurings ni ad-libs,0.917759879939832
sans featurings ni ad-libs,0.9780181115563806
sans featurings ni ad-libs,0.9214683548197793
sans featurings ni ad-libs,0.9729896328483598
sans featurings ni ad-libs,0.8849081133666769
sans featurings ni ad-libs,0.9210331356527125
sans featurings ni ad-libs,0.9460115884243705
sans featurings ni ad-libs,0.9408710348522473
sans featurings ni ad-libs,0.9236205863430906
sans featurings ni ad-libs,0.9584102864826295
sans featurings ni ad-libs,0.9242267769058292
sans featurings ni ad-libs,0.9954261570683053
sans featurings ni ad-libs,0.9334285337794118
sans featurings ni ad-libs,0.9421345179582267
sans featurings ni ad-libs,0.9006254730680743
sans featurings ni ad-libs,0.9254307193350905
sans featurings ni ad-libs,0.9381405921850208
sans featurings ni ad-libs,0.9035559342974604
sans featurings ni ad-libs,0.8786601369943948
sans featurings ni ad-libs,0.9547246422739011
sans featurings ni ad-libs,0.8935067524308781
sans featurings ni ad-libs,0.9334375501516331
sans featurings ni ad-libs,0.9987098183823756
sans featurings ni ad-libs,0.9409306702963541
sans featurings ni ad-libs,0.9447402158794429
sans featurings ni ad-libs,0.9304826105814897
sans featurings ni ad-libs,0.9466858335952574
sans featurings ni ad-libs,0.9002259153022224
sans featurings ni ad-libs,0.9910158370846693
sans featurings ni ad-libs,0.9341783939850339
sans featurings ni ad-libs,0.9247901960501718
sans featurings ni ad-libs,0.9277961975305338
sans featurings ni ad-libs,0.8945209661884528
sans featurings ni ad-libs,0.9469765602283327
sans featurings ni ad-libs,0.942584491611324
sans featurings ni ad-libs,0.9128262552414107
sans featurings ni ad-libs,0.9386313637882803
sans featurings ni ad-libs,0.9148393489903032
sans featurings ni ad-libs,0.9538751701632794
sans featurings ni ad-libs,0.9337692878902867
sans featurings ni ad-libs,0.9546421349658325
sans featurings ni ad-libs,0.9633422667818712
sans featurings ni ad-libs,0.929024608621325
sans featurings ni ad-libs,0.9457802060960088
sans featurings ni ad-libs,0.9444947284318632
sans featurings ni ad-libs,0.9626736827868841
sans featurings ni ad-libs,0.9800200035366503
sans featurings ni ad-libs,0.9055093448051953
